S_Phase_AM,S_Phase_AM+IM,S_Phase_IM,S_Phase_IM+SS,S_Phase_SS,S_Phase_SS+IM,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,I,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,Ns,O,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr
0,0,0,0,1,0,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,2.0,1.0,0,0.5,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
1,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,80.0,0.0,0.0,0,0,0.0,10,0,10.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.8,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.2,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
1,0,0,0,0,0,0.0,7.5,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,7.0,0,0,57.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,28.0
0,0,1,0,0,0,0.0,0.5,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,1.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
1,0,0,0,0,0,0.0,15.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,10.0,0,0,0,0,5.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,60,0,10.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,1.0,0,0,0,0,0.5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.5,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,1.0,1.0,0.0,0,0.0,0.0
0,0,1,0,0,0,5.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,2.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.3,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.5,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.5,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,2.5,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.8,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,1.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.5,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,6.0,0,0.0,0,0,0,0,18.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,5.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
1,0,0,0,0,0,0.0,5.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,8.0,0,0,60.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,27.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,13.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0.0,0.0,0,5.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.3,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,0.7,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,1.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0.0,0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.2,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0.0
1,0,0,0,0,0,0.0,24.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,20.0,0.0,0,0.0,0,0,0,0,0.0,0,36,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,20.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.25,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0
0,0,1,0,0,0,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,1.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,0.3,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.5,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,95.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,95.0,0.0,0,0,0.0,0,0,95.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,5.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,22.5,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,20.0,0,0,0,0,15.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,20.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,22.5,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,4.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.8,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,17.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
1,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,22.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,26.0,0,0.0,0,16.0,0,0,19.0,0,0,0.0,0.0,0.0,0,0.0,17.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.3,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.3,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,1.0,0,0.0,0,0,0,0,1.5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,1.0,0,0,0.0,0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,1.0,0,0,0.0,0,0.0,0,0,0.5,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,3.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,3.0,0.0
0,0,0,0,1,0,0.0,1.125,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,1.0,0,0,0,0,0.75,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.125,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.5,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,31.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,16.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,14.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,8.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5.0,0,2.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,0,1,0.0,0.5,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.5,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.8,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
1,0,0,0,0,0,5.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,7.5,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,65.0,0.0,0.0,0,0,0.0,0,0,7.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,10.0,0,5.0,0.0
0,0,0,0,0,1,0.0,1.8,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0,0,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,1.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,2.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.5,0,0,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0
0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0,0,0.0,0,0,1.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0.0,0.0,0,0.0,0.0
